"id","oblast","importance","name","category","type","area.ha","desig.decision","operator","location"
1,"Полтавська","загальнодержавне","Пирятинський","національний природний парк",,12028.42,"Указ Президента України від 11.12.2009 № 1046/2009","Міністерство екології та природних ресурсів України (НПП – 5555,14 га, Пирятинська РДА – 4196,7 га (Березоворудська с/р – 263,6 га, Великокручанська с/р – 369 га, Давидіввська с/р – 370 га, Дейманівська с/р – 340 га, Сасинівська с/р – 1854,1 га, Харківецька с/р – 100 га, Олександрівська с/р – 100 га, Пирятинська м/р – 800 га), ВАТ Каплинцівське – 149 га, Березоворудський технікум ПДАА – 90,92 га, ДП Пирятинський лісгосп – 1625,0 га, ДП С/г підприємство Березівське – 411,66 га)","Пирятинський р-н: в околицях міста Пирятин та сіл Грабарівка, Давидівка, Березова Рудка, Сасинівка, Гурбинці, Леляки, Усівка, Кейбалівка, Каплинці, Харківці, Дейманівка, Високе, Велика Круча, Повстин, Олександрівка"
2,"Полтавська","загальнодержавне","Нижньосульський","національний природний парк",,10764.2,"Указ Президента України від 10.02.2010 № 155/2010","Міністерство екології та природних ресурсів України (Глобинський р-н: Святилівська с/р – 1282,2 га, ДП Золотоніське ЛГ – 534 га. Оржицький р-н: Селецька с/р – 1000 га, Чутівська с/р – 745 га, Онишківська с/р – 655 га, Плехівська с/р – 500 га. Семенівський р-н: Горошинська с/р – 1824,4 га, Погребняківська с/р – 2429,6 га, Наріжанська с/р – 600,0 га, Худоліївська с/р – 1000 га, ДП Лубенський лісгосп – 194,0 га)","Оржицький р-н: околиці сіл Великоселецьке, Малоселецьке, Плехів, Онішки, Чутівка. Сулинська затока Кременчуцького водосховища, Глобинський р-н: в околицях с. Липове. Семенівський р-н: в околицях сіл Горошине, Погребняки, Дем’янівка"
3,"Полтавська","загальнодержавне","Сулинський","заказник","ландшафтний",23290,"Указ Президента України від 09.12.98 № 1341/98","Глобинський р-н: Святилівська с/р – 9566,9 га (в т.ч. 9498,8 га – акваторія затоки), Бугаївська с/р – 8987,2 га (в т.ч. 8823,2 га – акваторія затоки), ДП Кременчуцький лісгосп – 657 га Семенівський р-н: Погребняківська с/р – 2060,5 га (в т.ч. 1963 га – акваторія затоки), Горошинська с/р – 1836,4 га (в т.ч. 1592,0 га – акваторія затоки), ДП Лубенський лісгосп – 182 га","Сулинська затока Кременчуцького водосховища. Глобинський р-н, в околицях сіл Липове, Святилівка, Мозоліївка, кв. 1,2,5-9 Градизького л-ва Семенівський р-н, в околицях сіл Горошине, Погребняки, Дем’янівка, кв. 12,13 Семенівського л-ва"
4,"Полтавська","загальнодержавне","Лучківський","заказник","ландшафтний",1620,"Указ Президента України від 20.08.96 № 715/96","ДП Кременчуцький лісгосп – 614 га, Лучківська с/р – 1006 га","Кобеляцький р-н, с. Лучки, Кишеньківське л-во, кв. 6-14"
5,"Полтавська","загальнодержавне","Білецьківські плавні","заказник","ландшафтний",2980,"Указ Президента України від 10.12.94 № 750/94","Білецьківська с/р – 1910 га, Кременчуцька м/р – 75 га, ДП Кременчуцький лісгосп – 995 га","Кременчуцький р-н, о. Зелений, Диньки, Фантазія, Градизьке л-во, кв. 33-43, Краківське л-во, кв. 1-8. Плавні біля с. Білецьківка"
6,"Полтавська","загальнодержавне","Нижньопсільський","заказник","ландшафтний",504,"Указ Президента України від 10.12.94 № 750/94","ДП Кременчуцький лісгосп","Кременчуцький р-н, по р. Псьол від с. Гуньки до с. Крамаренки, Комсомольське л-во, кв. 3-12"
7,"Полтавська","загальнодержавне","Червонобережжя","заказник","ландшафтний",805,"Постанова РМ УРСР № 123 від 02.06.90","ДП Лубенський лісгосп","Лубенський р-н – 148 га, Чорнухинський р-н – 657 га, с. Гінці, Калайденцівське л-во, кв. 1-21"
8,"Полтавська","загальнодержавне","Дейманівський","заказник","ландшафтний",622.7,"Постанова РМ УРСР № 53 від 13.02.89","Дейманівська с/р","Пирятинський р-н, заплава р. Удай між с.с. Дейманівка і Шкурати"
9,"Полтавська","загальнодержавне","Вільхівщинський","заказник","ландшафтний",1030,"Постанова РМ УРСР від 25.02.80 № 132","Черкасівська с/р – 618,9 га; Куликівська с/р – 283,2 га; Василівська с/р – 127,9 га","Полтавський р-н, с. Вільхівщина, с. Василівка"
10,"Полтавська","загальнодержавне","Короленкова дача","заказник","ландшафтний",79.1,"Указ Президента України від 20.08.96 № 715/96","Куйбишевська с/р – 60,2 га Полтавське державне лісогосподарське підприємство Полтаваоблагроліс – 18,9 га","Шишацький р-н, с. Малий Перевіз"
11,"Полтавська","загальнодержавне","Христанівський","заказник","ландшафтний",1705.2,"Указ Президента України від 11.12.09 № 042/2009","Полтавське державне лісогосподарське підприємство Полтаваоблагроліс – 392 га, ДП Пирятинський лісгосп – 80 га, Васильківська с/р – 413,6 га, Бодаквянська с/р – 819,6 га","Лохвицький р-н, околиці сіл Христанівка та Бодаква, заплава р. Сула, Лохвицьке л-во, кв. 71 вид. 1-21"
12,"Полтавська","загальнодержавне","Малоперещепинський","заказник","ботанічний",640,"Постанова РМ УРСР № 132 від 25.02.80","Малоперещепинська с/р","Новосанжарський р-н, між селами Мала Перещепина та Маньківка"
13,"Полтавська","загальнодержавне","Руський Орчик","заказник","загальнозоологічний",785,"Указ Президента України від 10.12.94 № 750/94","Ряськівська с/р – 336,5 га, ДП Новосанжарський лісгосп– 448,5 га","Машівський р-н, с. Ряське, Карлівське л-во, кв. 70, 71, 73-80"
14,"Полтавська","загальнодержавне","Святилівський","заказник","орнітологічний",139.2,"Указ Президента України від 20.08.96 № 715/96","ДП Кременчуцький лісгосп – 107 га, Святилівська с/р – 32,2 га","Глобинський р-н, с. Святилівка, Градизьке л-во, кв. 3,4"
15,"Полтавська","загальнодержавне","Михнівський","заказник","орнітологічний",450,"Постанова РМ УРСР від 25.02.80 № 132","М’якенківська с/р – 270 га, Шевченківська с/р – 180 га","Решетилівський р-н, заплава р. Говтви між селами Михнівка і Фрунзівка"
